Repository_Name,Username,Stars,Repository_URL
three.js,mrdoob,71600.0,https://github.com/mrdoob/three.js
libgdx,libgdx,18500.0,https://github.com/libgdx/libgdx
Babylon.js,BabylonJS,14200.0,https://github.com/BabylonJS/Babylon.js
react-three-fiber,pmndrs,13600.0,https://github.com/pmndrs/react-three-fiber
aframe,aframevr,12800.0,https://github.com/aframevr/aframe
tinyrenderer,ssloy,10800.0,https://github.com/ssloy/tinyrenderer
3d-game-shaders-for-beginners,lettier,10500.0,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,9400.0,https://github.com/FreeCAD/FreeCAD
zdog,metafizzy,8500.0,https://github.com/metafizzy/zdog
cesium,CesiumGS,7100.0,https://github.com/CesiumGS/cesium
SpaceshipGenerator,a1studmuffin,6800.0,https://github.com/a1studmuffin/SpaceshipGenerator
3D-Machine-Learning,timzhang642,6700.0,https://github.com/timzhang642/3D-Machine-Learning
Open3D,intel-isl,4600.0,https://github.com/intel-isl/Open3D
spritejs,spritejs,4500.0,https://github.com/spritejs/spritejs
tensorspace,tensorspace-team,4400.0,https://github.com/tensorspace-team/tensorspace
webglstudio.js,jagenjo,4400.0,https://github.com/jagenjo/webglstudio.js
vrn,AaronJackson,4300.0,https://github.com/AaronJackson/vrn
PRNet,YadiraF,4300.0,https://github.com/YadiraF/PRNet
openscad,openscad,4100.0,https://github.com/openscad/openscad
BlenderGIS,domlysz,3900.0,https://github.com/domlysz/BlenderGIS
tinyraytracer,ssloy,3800.0,https://github.com/ssloy/tinyraytracer
magnum,mosra,3500.0,https://github.com/mosra/magnum
webgl-fundamentals,gfxfundamentals,3000.0,https://github.com/gfxfundamentals/webgl-fundamentals
3DDFA,cleardusk,3000.0,https://github.com/cleardusk/3DDFA
model-viewer,google,3000.0,https://github.com/google/model-viewer
isometric-contributions,jasonlong,2900.0,https://github.com/jasonlong/isometric-contributions
blender,blender,2800.0,https://github.com/blender/blender
L7,antvis,2300.0,https://github.com/antvis/L7
claygl,pissang,2200.0,https://github.com/pissang/claygl
meshlab,cnr-isti-vclab,2200.0,https://github.com/cnr-isti-vclab/meshlab
