Repository_Name,Username,Stars,Repository_URL
coding-interview-university,jwasham,176000.0,https://github.com/jwasham/coding-interview-university
CS-Notes,CyC2018,132000.0,https://github.com/CyC2018/CS-Notes
Python,TheAlgorithms,110000.0,https://github.com/TheAlgorithms/Python
javascript-algorithms,trekhleb,110000.0,https://github.com/trekhleb/javascript-algorithms
tech-interview-handbook,yangshun,54800.0,https://github.com/yangshun/tech-interview-handbook
interviews,kdn251,51600.0,https://github.com/kdn251/interviews
leetcode,azl397985856,42400.0,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,33900.0,https://github.com/algorithm-visualizer/algorithm-visualizer
JCSprout,crossoverJie,26200.0,https://github.com/crossoverJie/JCSprout
interactive-coding-challenges,donnemartin,22700.0,https://github.com/donnemartin/interactive-coding-challenges
algorithms,keon,19300.0,https://github.com/keon/algorithms
interview,huihut,18900.0,https://github.com/huihut/interview
LeetCode-Go,halfrost,18200.0,https://github.com/halfrost/LeetCode-Go
homemade-machine-learning,trekhleb,17800.0,https://github.com/trekhleb/homemade-machine-learning
WaveFunctionCollapse,mxgmn,16200.0,https://github.com/mxgmn/WaveFunctionCollapse
C-Plus-Plus,TheAlgorithms,13100.0,https://github.com/TheAlgorithms/C-Plus-Plus
cosmos,OpenGenus,12600.0,https://github.com/OpenGenus/cosmos
PythonRobotics,AtsushiSakai,12500.0,https://github.com/AtsushiSakai/PythonRobotics
algorithm-pattern,greyireland,12000.0,https://github.com/greyireland/algorithm-pattern
leetcode-master,youngyangyang04,11400.0,https://github.com/youngyangyang04/leetcode-master
Javascript,TheAlgorithms,11300.0,https://github.com/TheAlgorithms/Javascript
apachecn-algo-zh,apachecn,10300.0,https://github.com/apachecn/apachecn-algo-zh
Algorithms,williamfiset,10000.0,https://github.com/williamfiset/Algorithms
Halfrost-Field,halfrost,9000.0,https://github.com/halfrost/Halfrost-Field
awesome-competitive-programming,lnishan,8400.0,https://github.com/lnishan/awesome-competitive-programming
awesome-java-leetcode,Blankj,8100.0,https://github.com/Blankj/awesome-java-leetcode
algorithms,jeffgerickson,7200.0,https://github.com/jeffgerickson/algorithms
javascript-algorithms,mgechev,6800.0,https://github.com/mgechev/javascript-algorithms
vscode-leetcode,LeetCode-OpenSource,6600.0,https://github.com/LeetCode-OpenSource/vscode-leetcode
ImageAI,OlafenwaMoses,6200.0,https://github.com/OlafenwaMoses/ImageAI
