Repository_Name,Username,Stars,Repository_URL
amp,amphp,3200.0,https://github.com/amphp/amp
MadelineProto,danog,1600.0,https://github.com/danog/MadelineProto
http-server,amphp,1100.0,https://github.com/amphp/http-server
telegram-api,unreal4u,656000.0,https://github.com/unreal4u/telegram-api
http-client,amphp,564000.0,https://github.com/amphp/http-client
parallel,amphp,494000.0,https://github.com/amphp/parallel
service-bus,php-service-bus,293000.0,https://github.com/php-service-bus/service-bus
mysql,amphp,240000.0,https://github.com/amphp/mysql
byte-stream,amphp,225000.0,https://github.com/amphp/byte-stream
parallel-functions,amphp,186000.0,https://github.com/amphp/parallel-functions
process,amphp,132000.0,https://github.com/amphp/process
socket,amphp,130000.0,https://github.com/amphp/socket
redis,amphp,113000.0,https://github.com/amphp/redis
acme,kelunik,103000.0,https://github.com/kelunik/acme
mailgrab,PeeHaa,92000.0,https://github.com/PeeHaa/mailgrab
dns,amphp,91000.0,https://github.com/amphp/dns
websocket-client,amphp,85000.0,https://github.com/amphp/websocket-client
sync,amphp,74000.0,https://github.com/amphp/sync
asynit,jolicode,67000.0,https://github.com/jolicode/asynit
websocket-server,amphp,63000.0,https://github.com/amphp/websocket-server
postgres,amphp,58000.0,https://github.com/amphp/postgres
beanstalk,amphp,53000.0,https://github.com/amphp/beanstalk
cache,amphp,53000.0,https://github.com/amphp/cache
file,amphp,52000.0,https://github.com/amphp/file
windows-registry,amphp,49000.0,https://github.com/amphp/windows-registry
hpack,amphp,47000.0,https://github.com/amphp/hpack
serialization,amphp,44000.0,https://github.com/amphp/serialization
ridge,phpinnacle,41000.0,https://github.com/phpinnacle/ridge
Jeeves,Room-11,41000.0,https://github.com/Room-11/Jeeves
aerys,amphp,40000.0,https://github.com/amphp/aerys
