Repository_Name,Username,Stars,Repository_URL
flutter,flutter,122000.0,https://github.com/flutter/flutter
free-programming-books-zh_CN,justjavac,80400.0,https://github.com/justjavac/free-programming-books-zh_CN
scrcpy,Genymobile,49600.0,https://github.com/Genymobile/scrcpy
Awesome-Hacking,Hack-with-Github,44500.0,https://github.com/Hack-with-Github/Awesome-Hacking
material-design-icons,google,43100.0,https://github.com/google/material-design-icons
awesome-android-ui,wasabeef,40700.0,https://github.com/wasabeef/awesome-android-ui
okhttp,square,40200.0,https://github.com/square/okhttp
architecture-samples,android,38900.0,https://github.com/android/architecture-samples
retrofit,square,38200.0,https://github.com/square/retrofit
awesome-flutter,Solido,36000.0,https://github.com/Solido/awesome-flutter
MPAndroidChart,PhilJay,33400.0,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,32400.0,https://github.com/fastlane/fastlane
shadowsocks-android,shadowsocks,31500.0,https://github.com/shadowsocks/shadowsocks-android
glide,bumptech,31300.0,https://github.com/bumptech/glide
lottie-android,airbnb,31200.0,https://github.com/airbnb/lottie-android
android-open-project,Trinea,30600.0,https://github.com/Trinea/android-open-project
AndroidUtilCode,Blankj,29400.0,https://github.com/Blankj/AndroidUtilCode
gold-miner,xitu,29000.0,https://github.com/xitu/gold-miner
ijkplayer,bilibili,28900.0,https://github.com/bilibili/ijkplayer
zxing,zxing,27900.0,https://github.com/zxing/zxing
android_guides,codepath,27400.0,https://github.com/codepath/android_guides
leakcanary,square,26200.0,https://github.com/square/leakcanary
jadx,skylot,26200.0,https://github.com/skylot/jadx
joplin,laurent22,23700.0,https://github.com/laurent22/joplin
fastjson,alibaba,23400.0,https://github.com/alibaba/fastjson
SmartRefreshLayout,scwang90,22600.0,https://github.com/scwang90/SmartRefreshLayout
BaseRecyclerViewAdapterHelper,CymChad,22000.0,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,20700.0,https://github.com/react-native-elements/react-native-elements
iosched,google,20500.0,https://github.com/google/iosched
NativeScript,NativeScript,20200.0,https://github.com/NativeScript/NativeScript
