Repository_Name,Username,Stars,Repository_URL
free-programming-books-zh_CN,justjavac,80400.0,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,73800.0,https://github.com/angular/angular
storybook,storybookjs,62400.0,https://github.com/storybookjs/storybook
ionic-framework,ionic-team,44600.0,https://github.com/ionic-team/ionic-framework
33-js-concepts,leonardomso,40600.0,https://github.com/leonardomso/33-js-concepts
prettier,prettier,39800.0,https://github.com/prettier/prettier
sheetjs,SheetJS,25800.0,https://github.com/SheetJS/sheetjs
angular-cli,angular,24600.0,https://github.com/angular/angular-cli
components,angular,21500.0,https://github.com/angular/components
NativeScript,NativeScript,20200.0,https://github.com/NativeScript/NativeScript
generator-jhipster,jhipster,18500.0,https://github.com/jhipster/generator-jhipster
terminus,Eugeny,18100.0,https://github.com/Eugeny/terminus
handsontable,handsontable,15300.0,https://github.com/handsontable/handsontable
bit,teambit,13500.0,https://github.com/teambit/bit
sweetalert2,sweetalert2,13000.0,https://github.com/sweetalert2/sweetalert2
mean,linnovate,12100.0,https://github.com/linnovate/mean
javascript-testing-best-practices,goldbergyoni,11800.0,https://github.com/goldbergyoni/javascript-testing-best-practices
coreui-free-bootstrap-admin-template,coreui,10800.0,https://github.com/coreui/coreui-free-bootstrap-admin-template
codesandbox-client,codesandbox,10600.0,https://github.com/codesandbox/codesandbox-client
angular-starter,PatrickJS,10400.0,https://github.com/PatrickJS/angular-starter
PeerTube,Chocobozzz,9400.0,https://github.com/Chocobozzz/PeerTube
protractor,angular,8700.0,https://github.com/angular/protractor
OnsenUI,OnsenUI,8400.0,https://github.com/OnsenUI/OnsenUI
text-mask,text-mask,8000.0,https://github.com/text-mask/text-mask
awesome-angular,PatrickJS,7900.0,https://github.com/PatrickJS/awesome-angular
ng-bootstrap,ng-bootstrap,7800.0,https://github.com/ng-bootstrap/ng-bootstrap
ng-zorro-antd,NG-ZORRO,7500.0,https://github.com/NG-ZORRO/ng-zorro-antd
nx,nrwl,7400.0,https://github.com/nrwl/nx
rematch,rematch,7300.0,https://github.com/rematch/rematch
ag-grid,ag-grid,7300.0,https://github.com/ag-grid/ag-grid
