Repository_Name,Username,Stars,Repository_URL
ansible,ansible,48600.0,https://github.com/ansible/ansible
streisand,StreisandEffect,22500.0,https://github.com/StreisandEffect/streisand
algo,trailofbits,20900.0,https://github.com/trailofbits/algo
kubespray,kubernetes-sigs,10700.0,https://github.com/kubernetes-sigs/kubespray
awx,ansible,9800.0,https://github.com/ansible/awx
devops-exercises,bregman-arie,8500.0,https://github.com/bregman-arie/devops-exercises
kubeasz,easzlab,7000.0,https://github.com/easzlab/kubeasz
ansible-for-devops,geerlingguy,4600.0,https://github.com/geerlingguy/ansible-for-devops
rundeck,rundeck,4200.0,https://github.com/rundeck/rundeck
semaphore,ansible-semaphore,4100.0,https://github.com/ansible-semaphore/semaphore
DevOps-Guide,Tikam02,3700.0,https://github.com/Tikam02/DevOps-Guide
mac-dev-playbook,geerlingguy,3600.0,https://github.com/geerlingguy/mac-dev-playbook
KubeOperator,KubeOperator,3500.0,https://github.com/KubeOperator/KubeOperator
molecule,ansible-community,3100.0,https://github.com/ansible-community/molecule
DetectionLab,clong,2800.0,https://github.com/clong/DetectionLab
opendevops,opendevops-cn,2700.0,https://github.com/opendevops-cn/opendevops
OpsManage,welliamcao,2700.0,https://github.com/welliamcao/OpsManage
ansible-lint,ansible-community,2500.0,https://github.com/ansible-community/ansible-lint
netboot.xyz,netbootxyz,2400.0,https://github.com/netbootxyz/netboot.xyz
werf,werf,2400.0,https://github.com/werf/werf
trellis,roots,2200.0,https://github.com/roots/trellis
chrome-aws-lambda,alixaxel,2200.0,https://github.com/alixaxel/chrome-aws-lambda
ansible-collection-hardening,dev-sec,2200.0,https://github.com/dev-sec/ansible-collection-hardening
deploy,ansistrano,2100.0,https://github.com/ansistrano/deploy
openshift-ansible,openshift,2000.0,https://github.com/openshift/openshift-ansible
ansible-cmdb,fboender,1900.0,https://github.com/fboender/ansible-cmdb
pytest-testinfra,pytest-dev,1900.0,https://github.com/pytest-dev/pytest-testinfra
ansible-tuto,leucos,1900.0,https://github.com/leucos/ansible-tuto
infrastructure-as-code-tutorial,Artemmkin,1900.0,https://github.com/Artemmkin/infrastructure-as-code-tutorial
ansible-vagrant-examples,geerlingguy,1900.0,https://github.com/geerlingguy/ansible-vagrant-examples
