Repository_Name,Username,Stars,Repository_URL
public-apis,public-apis,130000.0,https://github.com/public-apis/public-apis
httpie,httpie,51000.0,https://github.com/httpie/httpie
neovim,neovim,44200.0,https://github.com/neovim/neovim
strapi,strapi,37000.0,https://github.com/strapi/strapi
slate,slatedocs,32700.000000000004,https://github.com/slatedocs/slate
fastapi,tiangolo,31900.0,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,29400.0,https://github.com/hoppscotch/hoppscotch
ItChat,littlecodersh,21500.0,https://github.com/littlecodersh/ItChat
django-rest-framework,encode,21100.0,https://github.com/encode/django-rest-framework
yapi,YMFE,21100.0,https://github.com/YMFE/yapi
NeteaseCloudMusicApi,Binaryify,20200.0,https://github.com/Binaryify/NeteaseCloudMusicApi
normalizr,paularmstrong,20200.0,https://github.com/paularmstrong/normalizr
ccxt,ccxt,19900.0,https://github.com/ccxt/ccxt
security-guide-for-developers,FallibleInc,19700.0,https://github.com/FallibleInc/security-guide-for-developers
api-guidelines,microsoft,17200.0,https://github.com/microsoft/api-guidelines
insomnia,Kong,16500.0,https://github.com/Kong/insomnia
API-Security-Checklist,shieldfy,15700.0,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13100.0,https://github.com/learn-anything/learn-anything
wxpy,youfou,12800.0,https://github.com/youfou/wxpy
brain.js,BrainJS,12000.0,https://github.com/BrainJS/brain.js
jsdoc,jsdoc,12000.0,https://github.com/jsdoc/jsdoc
directus,directus,11100.0,https://github.com/directus/directus
web3.js,ChainSafe,10500.0,https://github.com/ChainSafe/web3.js
postgraphile,graphile,10300.0,https://github.com/graphile/postgraphile
httpbin,postmanlabs,9900.0,https://github.com/postmanlabs/httpbin
chi,go-chi,9500.0,https://github.com/go-chi/chi
grape,ruby-grape,9300.0,https://github.com/ruby-grape/grape
showdoc,star7th,9000.0,https://github.com/star7th/showdoc
zeal,zealdocs,8800.0,https://github.com/zealdocs/zeal
openapi-generator,OpenAPITools,8800.0,https://github.com/OpenAPITools/openapi-generator
