Repository_Name,Username,Stars,Repository_URL
Tasmota,arendst,15300.0,https://github.com/arendst/Tasmota
johnny-five,rwaldron,12200.0,https://github.com/rwaldron/johnny-five
Arduino,arduino,11800.0,https://github.com/arduino/Arduino
Marlin,MarlinFirmware,11300.0,https://github.com/MarlinFirmware/Marlin
esp8266_deauther,SpacehuhnTech,8600.0,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo,tinygo-org,8100.0,https://github.com/tinygo-org/tinygo
gobot,hybridgroup,7200.0,https://github.com/hybridgroup/gobot
lowlevelprogramming-university,gurugio,6900.0,https://github.com/gurugio/lowlevelprogramming-university
arduino-esp32,espressif,6800.0,https://github.com/espressif/arduino-esp32
ArduinoJson,bblanchon,5200.0,https://github.com/bblanchon/ArduinoJson
platformio-core,platformio,5100.0,https://github.com/platformio/platformio-core
WiFiManager,tzapu,4600.0,https://github.com/tzapu/WiFiManager
cylon,hybridgroup,3800.0,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3300.0,https://github.com/Arduino-IRremote/Arduino-IRremote
blynk-library,blynkkk,3100.0,https://github.com/blynkkk/blynk-library
nectarjs,NectarJS,3000.0,https://github.com/NectarJS/nectarjs
arduino-cli,arduino,2900.0,https://github.com/arduino/arduino-cli
PJON,gioblu,2600.0,https://github.com/gioblu/PJON
blynk-server,blynkkk,2200.0,https://github.com/blynkkk/blynk-server
OpenMQTTGateway,1technophile,2200.0,https://github.com/1technophile/OpenMQTTGateway
audio-reactive-led-strip,scottlawsonbc,2000.0,https://github.com/scottlawsonbc/audio-reactive-led-strip
OpenBot,intel-isl,1800.0,https://github.com/intel-isl/OpenBot
Serial-Studio,Serial-Studio,1800.0,https://github.com/Serial-Studio/Serial-Studio
IRremoteESP8266,crankyoldgit,1800.0,https://github.com/crankyoldgit/IRremoteESP8266
splitflap,scottbez1,1700.0,https://github.com/scottbez1/splitflap
RF24,nRF24,1700.0,https://github.com/nRF24/RF24
Arduino_Core_STM32,stm32duino,1500.0,https://github.com/stm32duino/Arduino_Core_STM32
esp8266-oled-ssd1306,ThingPulse,1500.0,https://github.com/ThingPulse/esp8266-oled-ssd1306
blinker-library,blinker-iot,1300.0,https://github.com/blinker-iot/blinker-library
TFT_eSPI,Bodmer,1300.0,https://github.com/Bodmer/TFT_eSPI
