Repository_Name,Username,Stars,Repository_URL
aspnetboilerplate,aspnetboilerplate,9600.0,https://github.com/aspnetboilerplate/aspnetboilerplate
AspNetCore.Docs,dotnet,9200.0,https://github.com/dotnet/AspNetCore.Docs
server,bitwarden,7900.0,https://github.com/bitwarden/server
Electron.NET,ElectronNET,5700.0,https://github.com/ElectronNET/Electron.NET
NSwag,RicoSuter,4400.0,https://github.com/RicoSuter/NSwag
clean-code-dotnet,thangchung,3800.0,https://github.com/thangchung/clean-code-dotnet
ImageProcessor,JimBobSquarePants,2400.0,https://github.com/JimBobSquarePants/ImageProcessor
SmartStoreNET,smartstore,2200.0,https://github.com/smartstore/SmartStoreNET
aspnet-api-versioning,microsoft,2000.0,https://github.com/microsoft/aspnet-api-versioning
BaGet,loic-sharma,1700.0,https://github.com/loic-sharma/BaGet
aspnetcore-angular-universal,TrilonIO,1400.0,https://github.com/TrilonIO/aspnetcore-angular-universal
aspnetcore-Vue-starter,TrilonIO,1200.0,https://github.com/TrilonIO/aspnetcore-Vue-starter
DncZeus,lampo1024,1100.0,https://github.com/lampo1024/DncZeus
Awesome-Microservices-NetCore,mjebrahimi,1100.0,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
csla,MarimerLLC,901000.0,https://github.com/MarimerLLC/csla
dotvvm,riganti,538000.0,https://github.com/riganti/dotvvm
aspnet-core-3-jwt-authentication-api,cornflourblue,489000.0,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
SharPyShell,antonioCoco,437000.0,https://github.com/antonioCoco/SharPyShell
mvcarchitecture,chsakell,435000.0,https://github.com/chsakell/mvcarchitecture
Gofer.NET,brthor,393000.0,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,375000.0,https://github.com/YAFNET/YAFNET
rrod,Maarten88,371000.0,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,337000.0,https://github.com/SapphireDb/SapphireDb
WebMarkupMin,Taritsyn,319000.0,https://github.com/Taritsyn/WebMarkupMin
BlazorTable,IvanJosipovic,287000.0,https://github.com/IvanJosipovic/BlazorTable
aspnet-core-jwt-authentication-api,cornflourblue,273000.0,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
aspnetcore-vueclimiddleware,EEParker,267000.0,https://github.com/EEParker/aspnetcore-vueclimiddleware
aspnet-core-identity,chsakell,250000.0,https://github.com/chsakell/aspnet-core-identity
Identity.Dapper,grandchamp,242000.0,https://github.com/grandchamp/Identity.Dapper
electron.net-api-demos,ElectronNET,240000.0,https://github.com/ElectronNET/electron.net-api-demos
