Repository_Name,Username,Stars,Repository_URL
atom,atom,55200.0,https://github.com/atom/atom
dracula-theme,dracula,15700.0,https://github.com/dracula/dracula-theme
themer,mjswensen,4200.0,https://github.com/mjswensen/themer
hydrogen,nteract,3700.0,https://github.com/nteract/hydrogen
markdown-preview-enhanced,shd101wyy,3200.0,https://github.com/shd101wyy/markdown-preview-enhanced
v2,miniflux,2900.0,https://github.com/miniflux/v2
teletype,atom,2300.0,https://github.com/atom/teletype
awesome-atom,mehcode,1800.0,https://github.com/mehcode/awesome-atom
gofeed,mmcdole,1600.0,https://github.com/mmcdole/gofeed
go-plus,joefitzgerald,1500.0,https://github.com/joefitzgerald/go-plus
atom-beautify,Glavin001,1500.0,https://github.com/Glavin001/atom-beautify
atom-vim-mode-plus,t9md,1400.0,https://github.com/t9md/atom-vim-mode-plus
simplepie,simplepie,1400.0,https://github.com/simplepie/simplepie
merlin,ocaml,1300.0,https://github.com/ocaml/merlin
MagicPython,MagicStack,1300.0,https://github.com/MagicStack/MagicPython
feedparser,kurtmckee,1200.0,https://github.com/kurtmckee/feedparser
apm,atom,1200.0,https://github.com/atom/apm
atom,file-icons,1100.0,https://github.com/file-icons/atom
atomic-layout,kettanaito,950000.0,https://github.com/kettanaito/atomic-layout
atomic-chrome,danhper,929000.0,https://github.com/danhper/atomic-chrome
FeedKit,nmdias,914000.0,https://github.com/nmdias/FeedKit
github,atom,909000.0,https://github.com/atom/github
atom-one-dark-terminal,nathanbuchar,906000.0,https://github.com/nathanbuchar/atom-one-dark-terminal
seti-ui,jesseweed,864000.0,https://github.com/jesseweed/seti-ui
prettier-atom,prettier,759000.0,https://github.com/prettier/prettier-atom
lucario,raphamorim,718000.0,https://github.com/raphamorim/lucario
atom-script,atom-community,717000.0,https://github.com/atom-community/atom-script
kotlin-language-server,fwcd,712000.0,https://github.com/fwcd/kotlin-language-server
cypht,jasonmunro,648000.0,https://github.com/jasonmunro/cypht
jekyll-feed,jekyll,644000.0,https://github.com/jekyll/jekyll-feed
