Repository_Name,Username,Stars,Repository_URL
awesome,sindresorhus,163000.0,https://github.com/sindresorhus/awesome
awesome-python,vinta,99300.0,https://github.com/vinta/awesome-python
awesome-go,avelino,64900.00000000001,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,59500.0,https://github.com/awesome-selfhosted/awesome-selfhosted
papers-we-love,papers-we-love,46200.0,https://github.com/papers-we-love/papers-we-love
Awesome-Hacking,Hack-with-Github,44500.0,https://github.com/Hack-with-Github/Awesome-Hacking
HelloGitHub,521xueweihan,43100.0,https://github.com/521xueweihan/HelloGitHub
awesome-mac,jaywcjlove,42200.0,https://github.com/jaywcjlove/awesome-mac
awesome-nodejs,sindresorhus,41300.0,https://github.com/sindresorhus/awesome-nodejs
awesome-interview-questions,DopplerHQ,41100.0,https://github.com/DopplerHQ/awesome-interview-questions
the-book-of-secret-knowledge,trimstray,40800.0,https://github.com/trimstray/the-book-of-secret-knowledge
awesome-android-ui,wasabeef,40700.0,https://github.com/wasabeef/awesome-android-ui
awesome-ios,vsouza,37700.0,https://github.com/vsouza/awesome-ios
awesome-courses,prakhar1989,37200.0,https://github.com/prakhar1989/awesome-courses
awesome-flutter,Solido,36000.0,https://github.com/Solido/awesome-flutter
awesome-scalability,binhnguyennus,32400.0,https://github.com/binhnguyennus/awesome-scalability
awesome-cpp,fffaraz,31800.0,https://github.com/fffaraz/awesome-cpp
github-cheat-sheet,tiimgreen,31800.0,https://github.com/tiimgreen/github-cheat-sheet
awesome-for-beginners,MunGell,31700.0,https://github.com/MunGell/awesome-for-beginners
frontend-dev-bookmarks,dypsilon,31400.0,https://github.com/dypsilon/frontend-dev-bookmarks
awesome-java,akullpp,28800.0,https://github.com/akullpp/awesome-java
open-source-ios-apps,dkhamsing,27400.0,https://github.com/dkhamsing/open-source-ios-apps
awesome-react-components,brillout,27100.0,https://github.com/brillout/awesome-react-components
open-source-mac-os-apps,serhii-londar,26000.0,https://github.com/serhii-londar/open-source-mac-os-apps
awesome-php,ziadoz,25400.0,https://github.com/ziadoz/awesome-php
awesome-macos-command-line,herrbischoff,25200.0,https://github.com/herrbischoff/awesome-macos-command-line
Awesome-Design-Tools,goabstract,23000.0,https://github.com/goabstract/Awesome-Design-Tools
awesome-electron,sindresorhus,21600.0,https://github.com/sindresorhus/awesome-electron
awesome-shell,alebcay,21600.0,https://github.com/alebcay/awesome-shell
awesome-swift,matteocrippa,20800.0,https://github.com/matteocrippa/awesome-swift
