Repository_Name,Username,Stars,Repository_URL
serverless,serverless,39900.0,https://github.com/serverless/serverless
localstack,localstack,30600.0,https://github.com/localstack/localstack
data-science-ipython-notebooks,donnemartin,21200.0,https://github.com/donnemartin/data-science-ipython-notebooks
awesome-kubernetes,ramitsurana,11600.0,https://github.com/ramitsurana/awesome-kubernetes
aws-cli,aws,11100.0,https://github.com/aws/aws-cli
kubespray,kubernetes-sigs,10700.0,https://github.com/kubernetes-sigs/kubespray
awesome-aws,donnemartin,9400.0,https://github.com/donnemartin/awesome-aws
pulumi,pulumi,8900.0,https://github.com/pulumi/pulumi
cas,apereo,8700.0,https://github.com/apereo/cas
devops-exercises,bregman-arie,8500.0,https://github.com/bregman-arie/devops-exercises
up,apex,8200.0,https://github.com/apex/up
amplify-js,aws-amplify,8100.0,https://github.com/aws-amplify/amplify-js
chalice,aws,8000.0,https://github.com/aws/chalice
serverless-application-model,aws,8000.0,https://github.com/aws/serverless-application-model
go-cloud,google,7800.0,https://github.com/google/go-cloud
sops,mozilla,7600.0,https://github.com/mozilla/sops
cortex,cortexlabs,7500.0,https://github.com/cortexlabs/cortex
caprover,caprover,7200.0,https://github.com/caprover/caprover
aws-sdk-go,aws,6900.0,https://github.com/aws/aws-sdk-go
aws-cdk,aws,6800.0,https://github.com/aws/aws-cdk
aws-sdk-js,aws,6600.0,https://github.com/aws/aws-sdk-js
boto3,boto,6400.0,https://github.com/boto/boto3
openvpn-install,angristan,6400.0,https://github.com/angristan/openvpn-install
aws-shell,awslabs,6200.0,https://github.com/awslabs/aws-shell
terraform-provider-aws,hashicorp,5900.0,https://github.com/hashicorp/terraform-provider-aws
amazon-sagemaker-examples,aws,5600.0,https://github.com/aws/amazon-sagemaker-examples
aws-sam-cli,aws,5600.0,https://github.com/aws/aws-sam-cli
dev-setup,donnemartin,5400.0,https://github.com/donnemartin/dev-setup
terratest,gruntwork-io,5300.0,https://github.com/gruntwork-io/terratest
terragrunt,gruntwork-io,5000.0,https://github.com/gruntwork-io/terragrunt
