Repository_Name,Username,Stars,Repository_URL
awesome-kubernetes,ramitsurana,11600.0,https://github.com/ramitsurana/awesome-kubernetes
azure-quickstart-templates,Azure,10500.0,https://github.com/Azure/azure-quickstart-templates
recommenders,microsoft,10200.0,https://github.com/microsoft/recommenders
pulumi,pulumi,8900.0,https://github.com/pulumi/pulumi
devops-exercises,bregman-arie,8500.0,https://github.com/bregman-arie/devops-exercises
go-cloud,google,7800.0,https://github.com/google/go-cloud
computervision-recipes,microsoft,7800.0,https://github.com/microsoft/computervision-recipes
sops,mozilla,7600.0,https://github.com/mozilla/sops
caprover,caprover,7200.0,https://github.com/caprover/caprover
azuredatastudio,microsoft,6400.0,https://github.com/microsoft/azuredatastudio
formidable,node-formidable,5900.0,https://github.com/node-formidable/formidable
midway,midwayjs,4300.0,https://github.com/midwayjs/midway
clean-code-dotnet,thangchung,3800.0,https://github.com/thangchung/clean-code-dotnet
cloud-custodian,cloud-custodian,3600.0,https://github.com/cloud-custodian/cloud-custodian
docker-android,budtmo,3400.0,https://github.com/budtmo/docker-android
grant,simov,3300.0,https://github.com/simov/grant
ScoutSuite,nccgroup,3200.0,https://github.com/nccgroup/ScoutSuite
infracost,infracost,3100.0,https://github.com/infracost/infracost
engine,Qovery,3000.0,https://github.com/Qovery/engine
tfsec,tfsec,2800.0,https://github.com/tfsec/tfsec
checkov,bridgecrewio,2800.0,https://github.com/bridgecrewio/checkov
terraform-provider-azurerm,terraform-providers,2600.0,https://github.com/terraform-providers/terraform-provider-azurerm
azure-powershell,Azure,2600.0,https://github.com/Azure/azure-powershell
komiser,mlabouardy,2600.0,https://github.com/mlabouardy/komiser
azure-cli,Azure,2400.0,https://github.com/Azure/azure-cli
openapi-directory,APIs-guru,2400.0,https://github.com/APIs-guru/openapi-directory
azure-sdk-for-net,Azure,2400.0,https://github.com/Azure/azure-sdk-for-net
mmlspark,Azure,2300.0,https://github.com/Azure/mmlspark
MachineLearningNotebooks,Azure,2300.0,https://github.com/Azure/MachineLearningNotebooks
SmartStoreNET,smartstore,2200.0,https://github.com/smartstore/SmartStoreNET
