Repository_Name,Username,Stars,Repository_URL
bitcoin,bitcoin,54600.0,https://github.com/bitcoin/bitcoin
ccxt,ccxt,19900.0,https://github.com/ccxt/ccxt
ZeroNet,HelloZeroNet,16800.0,https://github.com/HelloZeroNet/ZeroNet
gekko,askmike,9700.0,https://github.com/askmike/gekko
freqtrade,freqtrade,9100.0,https://github.com/freqtrade/freqtrade
abu,bbfamily,8000.0,https://github.com/bbfamily/abu
lbry-sdk,lbryio,7200.0,https://github.com/lbryio/lbry-sdk
blockchain,dvf,6000.0,https://github.com/dvf/blockchain
blockchain_guide,yeasy,5600.0,https://github.com/yeasy/blockchain_guide
blackbird,butor,5300.0,https://github.com/butor/blackbird
lnd,lightningnetwork,5000.0,https://github.com/lightningnetwork/lnd
electrum,spesmilo,5000.0,https://github.com/spesmilo/electrum
btcd,btcsuite,4300.0,https://github.com/btcsuite/btcd
bitcoinjs-lib,bitcoinjs,4200.0,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4000.0,https://github.com/bitcoinj/bitcoinj
bisq,bisq-network,3600.0,https://github.com/bisq-network/bisq
tribeca,michaelgrosner,3500.0,https://github.com/michaelgrosner/tribeca
EthList,Scanate,3400.0,https://github.com/Scanate/EthList
alpha_vantage,RomelTorres,3400.0,https://github.com/RomelTorres/alpha_vantage
awesome-coins,Zheaoli,3300.0,https://github.com/Zheaoli/awesome-coins
CryptoList,coinpride,3300.0,https://github.com/coinpride/CryptoList
wallet,bitpay,3200.0,https://github.com/bitpay/wallet
squeezer,SqueezerIO,3200.0,https://github.com/SqueezerIO/squeezer
Crypto-Signal,CryptoSignal,3100.0,https://github.com/CryptoSignal/Crypto-Signal
blockchain_go,Jeiwan,2900.0,https://github.com/Jeiwan/blockchain_go
lbrycrd,lbryio,2800.0,https://github.com/lbryio/lbrycrd
btcpayserver,btcpayserver,2700.0,https://github.com/btcpayserver/btcpayserver
jesse,jesse-ai,2600.0,https://github.com/jesse-ai/jesse
bcoin,bcoin-org,2500.0,https://github.com/bcoin-org/bcoin
bitcoin-wallet,bitcoin-wallet,2500.0,https://github.com/bitcoin-wallet/bitcoin-wallet
