Repository_Name,Username,Stars,Repository_URL
ccxt,ccxt,19900.0,https://github.com/ccxt/ccxt
hubot,hubotio,15900.0,https://github.com/hubotio/hubot
python-telegram-bot,python-telegram-bot,15500.0,https://github.com/python-telegram-bot/python-telegram-bot
InstaPy,timgrossmann,12900.0,https://github.com/timgrossmann/InstaPy
discord.js,discordjs,12100.0,https://github.com/discordjs/discord.js
rasa,RasaHQ,11500.0,https://github.com/RasaHQ/rasa
ChatterBot,gunthercox,11200.0,https://github.com/gunthercox/ChatterBot
botkit,howdyai,10400.0,https://github.com/howdyai/botkit
botpress,botpress,9200.0,https://github.com/botpress/botpress
EverydayWechat,sfyc23,8300.0,https://github.com/sfyc23/EverydayWechat
leon,leon-ai,7600.0,https://github.com/leon-ai/leon
EZFN-Lobbybot,EZFNDEV,6900.0,https://github.com/EZFNDEV/EZFN-Lobbybot
botframework-sdk,microsoft,6500.0,https://github.com/microsoft/botframework-sdk
ailab,microsoft,6400.0,https://github.com/microsoft/ailab
trump2cash,maxbbraun,6000.0,https://github.com/maxbbraun/trump2cash
botman,botman,5400.0,https://github.com/botman/botman
YYeTsBot,tgbot-collection,5300.0,https://github.com/tgbot-collection/YYeTsBot
node-telegram-bot-api,yagop,5300.0,https://github.com/yagop/node-telegram-bot-api
DeepPavlov,deepmipt,5200.0,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,4700.0,https://github.com/telegraf/telegraf
nlp.js,axa-group,4400.0,https://github.com/axa-group/nlp.js
streetmerchant,jef,4300.0,https://github.com/jef/streetmerchant
igbot,ohld,3900.0,https://github.com/ohld/igbot
PokemonGo-Bot,PokemonGoF,3700.0,https://github.com/PokemonGoF/PokemonGo-Bot
bottender,Yoctol,3600.0,https://github.com/Yoctol/bottender
snips-nlu,snipsco,3500.0,https://github.com/snipsco/snips-nlu
telegram-list,goq,3100.0,https://github.com/goq/telegram-list
venom,orkestral,2700.0,https://github.com/orkestral/venom
jesse,jesse-ai,2600.0,https://github.com/jesse-ai/jesse
botui,botui,2600.0,https://github.com/botui/botui
