Repository_Name,Username,Stars,Repository_URL
scrcpy,Genymobile,49500.0,https://github.com/Genymobile/scrcpy
neovim,neovim,44200.0,https://github.com/neovim/neovim
git,git,38200.0,https://github.com/git/git
awesome-cpp,fffaraz,31800.0,https://github.com/fffaraz/awesome-cpp
obs-studio,obsproject,29300.0,https://github.com/obsproject/obs-studio
open-source-mac-os-apps,serhii-londar,26000.0,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,25000.0,https://github.com/FFmpeg/FFmpeg
vim,vim,23900.0,https://github.com/vim/vim
the_silver_searcher,ggreer,22100.0,https://github.com/ggreer/the_silver_searcher
curl,curl,20900.0,https://github.com/curl/curl
interview,huihut,18900.0,https://github.com/huihut/interview
ruby,ruby,18200.0,https://github.com/ruby/ruby
flatbuffers,google,16300.0,https://github.com/google/flatbuffers
graal,oracle,15300.0,https://github.com/oracle/graal
mpv,mpv-player,15200.0,https://github.com/mpv-player/mpv
rufus,pbatard,14900.0,https://github.com/pbatard/rufus
radare2,radareorg,14500.0,https://github.com/radareorg/radare2
shadowsocks-libev,shadowsocks,14400.0,https://github.com/shadowsocks/shadowsocks-libev
goaccess,allinurl,13300.0,https://github.com/allinurl/goaccess
nuklear,vurtun,13300.0,https://github.com/vurtun/nuklear
vcpkg,microsoft,12900.0,https://github.com/microsoft/vcpkg
infer,facebook,12300.0,https://github.com/facebook/infer
nnn,jarun,11600.0,https://github.com/jarun/nnn
kitty,kovidgoyal,11500.0,https://github.com/kovidgoyal/kitty
Sourcetrail,CoatiSoftware,11500.0,https://github.com/CoatiSoftware/Sourcetrail
raspberry-pi-os,s-matyukevich,10300.0,https://github.com/s-matyukevich/raspberry-pi-os
tig,jonas,10100.0,https://github.com/jonas/tig
hashcat,hashcat,10000.0,https://github.com/hashcat/hashcat
qmk_firmware,qmk,9800.0,https://github.com/qmk/qmk_firmware
C,TheAlgorithms,9600.0,https://github.com/TheAlgorithms/C
