Repository_Name,Username,Stars,Repository_URL
bypass-paywalls-chrome,iamadamdev,15800.0,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,sindresorhus,14600.0,https://github.com/sindresorhus/refined-github
headless-recorder,checkly,13000.0,https://github.com/checkly/headless-recorder
codelf,unbug,11400.0,https://github.com/unbug/codelf
darkreader,darkreader,10300.0,https://github.com/darkreader/darkreader
listen1_chrome_extension,listen1,7500.0,https://github.com/listen1/listen1_chrome_extension
dejavu,appbaseio,7300.0,https://github.com/appbaseio/dejavu
screenity,alyssaxuu,5600.0,https://github.com/alyssaxuu/screenity
simpread,Kenshin,4700.0,https://github.com/Kenshin/simpread
medium-unlimited,manojVivek,3800.0,https://github.com/manojVivek/medium-unlimited
buster,dessant,3700.0,https://github.com/dessant/buster
rails_panel,dejan,3600.0,https://github.com/dejan/rails_panel
FeHelper,zxlie,3600.0,https://github.com/zxlie/FeHelper
bilibili-helper-o,bilibili-helper,3500.0,https://github.com/bilibili-helper/bilibili-helper-o
daily,dailydotdev,3500.0,https://github.com/dailydotdev/daily
altair,imolorhe,3400.0,https://github.com/imolorhe/altair
gmail.js,KartikTalwar,3400.0,https://github.com/KartikTalwar/gmail.js
stylus,openstyles,3400.0,https://github.com/openstyles/stylus
SingleFile,gildas-lormeau,3300.0,https://github.com/gildas-lormeau/SingleFile
crx-selection-translate,lmk123,3300.0,https://github.com/lmk123/crx-selection-translate
Reddit-Enhancement-Suite,honestbleeps,3200.0,https://github.com/honestbleeps/Reddit-Enhancement-Suite
Memex,WorldBrain,3100.0,https://github.com/WorldBrain/Memex
pangu.js,vinta,3000.0,https://github.com/vinta/pangu.js
jjb,sunoj,3000.0,https://github.com/sunoj/jjb
extension-boilerplate,EmailThis,2800.0,https://github.com/EmailThis/extension-boilerplate
web-clipper,webclipper,2800.0,https://github.com/webclipper/web-clipper
retire.js,RetireJS,2800.0,https://github.com/RetireJS/retire.js
GhostText,fregante,2500.0,https://github.com/fregante/GhostText
json-viewer,tulios,2400.0,https://github.com/tulios/json-viewer
SponsorBlock,ajayyy,2400.0,https://github.com/ajayyy/SponsorBlock
