Repository_Name,Username,Stars,Repository_URL
httpie,httpie,51000.0,https://github.com/httpie/httpie
fzf,junegunn,37100.0,https://github.com/junegunn/fzf
bat,sharkdp,27400.0,https://github.com/sharkdp/bat
dive,wagoodman,26400.0,https://github.com/wagoodman/dive
cheat.sh,chubin,25600.0,https://github.com/chubin/cheat.sh
sherlock,sherlock-project,25400.0,https://github.com/sherlock-project/sherlock
ripgrep,BurntSushi,25400.0,https://github.com/BurntSushi/ripgrep
angular-cli,angular,24600.0,https://github.com/angular/angular-cli
cli,cli,23700.0,https://github.com/cli/cli
cobra,spf13,21800.0,https://github.com/spf13/cobra
awesome-shell,alebcay,21500.0,https://github.com/alebcay/awesome-shell
lazygit,jesseduffield,20100.0,https://github.com/jesseduffield/lazygit
python-fire,google,19200.0,https://github.com/google/python-fire
ava,avajs,19100.0,https://github.com/avajs/ava
tqdm,tqdm,18500.0,https://github.com/tqdm/tqdm
pkg,vercel,18300.0,https://github.com/vercel/pkg
fd,sharkdp,17500.0,https://github.com/sharkdp/fd
chalk,chalk,16500.0,https://github.com/chalk/chalk
ink,vadimdemedes,16300.0,https://github.com/vadimdemedes/ink
svgo,svg,16200.0,https://github.com/svg/svgo
cli,urfave,15900.0,https://github.com/urfave/cli
.tmux,gpakosz,14200.0,https://github.com/gpakosz/.tmux
n8n,n8n-io,14200.0,https://github.com/n8n-io/n8n
webpack-dashboard,FormidableLabs,13800.0,https://github.com/FormidableLabs/webpack-dashboard
goaccess,allinurl,13300.0,https://github.com/allinurl/goaccess
ignite,infinitered,12600.0,https://github.com/infinitered/ignite
git-history,pomber,12500.0,https://github.com/pomber/git-history
nnn,jarun,11600.0,https://github.com/jarun/nnn
click,pallets,11000.0,https://github.com/pallets/click
asdf,asdf-vm,10900.0,https://github.com/asdf-vm/asdf
