Repository_Name,Username,Stars,Repository_URL
metabase,metabase,25000.0,https://github.com/metabase/metabase
deeplearning4j,eclipse,12100.0,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11600.0,https://github.com/LightTable/LightTable
awesomo,lk-geimfari,7900.0,https://github.com/lk-geimfari/awesomo
mal,kanaka,7900.0,https://github.com/kanaka/mal
penpot,penpot,4400.0,https://github.com/penpot/penpot
reagent,reagent-project,4200.0,https://github.com/reagent-project/reagent
datascript,tonsky,4200.0,https://github.com/tonsky/datascript
logseq,logseq,4200.0,https://github.com/logseq/logseq
riemann,riemann,4000.0,https://github.com/riemann/riemann
compojure,weavejester,3900.0,https://github.com/weavejester/compojure
clojure-style-guide,bbatsov,3600.0,https://github.com/bbatsov/clojure-style-guide
intellij-rainbow-brackets,izhangzhihao,3500.0,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring,ring-clojure,3300.0,https://github.com/ring-clojure/ring
cider,clojure-emacs,3100.0,https://github.com/clojure-emacs/cider
status-react,status-im,3100.0,https://github.com/status-im/status-react
lein-figwheel,bhauman,2900.0,https://github.com/bhauman/lein-figwheel
Rich-Hickey-fanclub,tallesl,2700.0,https://github.com/tallesl/Rich-Hickey-fanclub
klipse,viebel,2600.0,https://github.com/viebel/klipse
beakerx,twosigma,2500.0,https://github.com/twosigma/beakerx
pedestal,pedestal,2400.0,https://github.com/pedestal/pedestal
hiccup,weavejester,2300.0,https://github.com/weavejester/hiccup
http-kit,http-kit,2200.0,https://github.com/http-kit/http-kit
awesome-clojure,razum2um,2200.0,https://github.com/razum2um/awesome-clojure
babashka,babashka,2000.0,https://github.com/babashka/babashka
onyx,onyx-platform,2000.0,https://github.com/onyx-platform/onyx
lumo,anmonteiro,1800.0,https://github.com/anmonteiro/lumo
boot,boot-clj,1700.0,https://github.com/boot-clj/boot
defold,defold,1700.0,https://github.com/defold/defold
sente,ptaoussanis,1600.0,https://github.com/ptaoussanis/sente
