Repository_Name,Username,Stars,Repository_URL
infer,facebook,12300.0,https://github.com/facebook/infer
static-analysis,analysis-tools-dev,8700.0,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6000.0,https://github.com/checkstyle/checkstyle
sonarqube,SonarSource,5800.0,https://github.com/SonarSource/sonarqube
pyre-check,facebook,5400.0,https://github.com/facebook/pyre-check
awesome-guidelines,Kristories,4700.0,https://github.com/Kristories/awesome-guidelines
simplecov,simplecov-ruby,4300.0,https://github.com/simplecov-ruby/simplecov
grumphp,phpro,3500.0,https://github.com/phpro/grumphp
pmd,pmd,3400.0,https://github.com/pmd/pmd
pylint,PyCQA,3400.0,https://github.com/PyCQA/pylint
reviewdog,reviewdog,3400.0,https://github.com/reviewdog/reviewdog
HTMLHint,htmlhint,2600.0,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2200.0,https://github.com/codeclimate/codeclimate
jscpd,kucherenko,2100.0,https://github.com/kucherenko/jscpd
state-of-the-art-shitcode,trekhleb,1800.0,https://github.com/trekhleb/state-of-the-art-shitcode
piranha,uber,1700.0,https://github.com/uber/piranha
wemake-python-styleguide,wemake-services,1500.0,https://github.com/wemake-services/wemake-python-styleguide
cross-platform-node-guide,ehmicky,1200.0,https://github.com/ehmicky/cross-platform-node-guide
typewiz,urish,1100.0,https://github.com/urish/typewiz
feflow,Tencent,970000.0,https://github.com/Tencent/feflow
phpqa,jakzal,917000.0,https://github.com/jakzal/phpqa
unused,joshuaclayton,878000.0,https://github.com/joshuaclayton/unused
SonarTS,SonarSource,776000.0,https://github.com/SonarSource/SonarTS
android-guidelines,bufferapp,762000.0,https://github.com/bufferapp/android-guidelines
Imgbot,dabutvin,759000.0,https://github.com/dabutvin/Imgbot
pdepend,pdepend,746000.0,https://github.com/pdepend/pdepend
SonarJS,SonarSource,716000.0,https://github.com/SonarSource/SonarJS
undercover,grodowski,578000.0,https://github.com/grodowski/undercover
ComposerRequireChecker,maglnet,572000.0,https://github.com/maglnet/ComposerRequireChecker
vim-disapprove-deep-indentation,dodie,565000.0,https://github.com/dodie/vim-disapprove-deep-indentation
