Repository_Name,Username,Stars,Repository_URL
octotree,ovity,21300.0,https://github.com/ovity/octotree
danger,danger,4500.0,https://github.com/danger/danger
gitpod,gitpod-io,4100.0,https://github.com/gitpod-io/gitpod
danger-js,danger,3900.0,https://github.com/danger/danger-js
reviewdog,reviewdog,3400.0,https://github.com/reviewdog/reviewdog
awesome-code-review,joho,2800.0,https://github.com/joho/awesome-code-review
hound,houndci,1900.0,https://github.com/houndci/hound
mutant,mbj,1700.0,https://github.com/mbj/mutant
nodejsscan,ajinabraham,1700.0,https://github.com/ajinabraham/nodejsscan
vscode-pull-request-github,microsoft,1600.0,https://github.com/microsoft/vscode-pull-request-github
cargo-crev,crev-dev,1400.0,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1300.0,https://github.com/reviewboard/reviewboard
python_sec,bit4woo,954000.0,https://github.com/bit4woo/python_sec
code-review-tips,ryanmcdermott,911000.0,https://github.com/ryanmcdermott/code-review-tips
java-concurrency,code-review-checklists,893000.0,https://github.com/code-review-checklists/java-concurrency
Audit-Learning,jiangsir404,778000.0,https://github.com/jiangsir404/Audit-Learning
codestream,TeamCodeStream,549000.0,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,484000.0,https://github.com/enlightn/enlightn
gerrit-intellij-plugin,uwolfer,411000.0,https://github.com/uwolfer/gerrit-intellij-plugin
policy-bot,palantir,371000.0,https://github.com/palantir/policy-bot
cpp-project,bsamseth,361000.0,https://github.com/bsamseth/cpp-project
diffr,mookid,348000.0,https://github.com/mookid/diffr
static-review,sjparkinson,330000.0,https://github.com/sjparkinson/static-review
raptor,dpnishant,319000.0,https://github.com/dpnishant/raptor
shiba,burrito-brothers,281000.0,https://github.com/burrito-brothers/shiba
code-review-checklist,mgreiler,262000.0,https://github.com/mgreiler/code-review-checklist
github-review,charignon,227000.0,https://github.com/charignon/github-review
lookout,src-d,141000.0,https://github.com/src-d/lookout
gerrit-rest-java-client,uwolfer,134000.0,https://github.com/uwolfer/gerrit-rest-java-client
owasp-orizon,thesp0nge,132000.0,https://github.com/thesp0nge/owasp-orizon
