Repository_Name,Username,Stars,Repository_URL
next.js,vercel,68300.0,https://github.com/vercel/next.js
webpack,webpack,58400.0,https://github.com/webpack/webpack
rust,rust-lang,55800.0,https://github.com/rust-lang/rust
gatsby,gatsbyjs,50500.0,https://github.com/gatsbyjs/gatsby
svelte,sveltejs,47500.0,https://github.com/sveltejs/svelte
babel,babel,39200.0,https://github.com/babel/babel
parcel,parcel-bundler,38500.0,https://github.com/parcel-bundler/parcel
kotlin,JetBrains,36700.0,https://github.com/JetBrains/kotlin
marked,markedjs,25100.0,https://github.com/markedjs/marked
esbuild,evanw,25000.0,https://github.com/evanw/esbuild
v,vlang,23900.0,https://github.com/vlang/v
pkg,vercel,18300.0,https://github.com/vercel/pkg
v8,v8,17700.0,https://github.com/v8/v8
swc,swc-project,12300.0,https://github.com/swc-project/swc
bytecode-viewer,Konloch,12100.0,https://github.com/Konloch/bytecode-viewer
assemblyscript,AssemblyScript,12100.0,https://github.com/AssemblyScript/assemblyscript
Nim,nim-lang,11400.0,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10200.0,https://github.com/gopherjs/gopherjs
zig,ziglang,9500.0,https://github.com/ziglang/zig
compiler-explorer,compiler-explorer,8700.0,https://github.com/compiler-explorer/compiler-explorer
kotlin-native,JetBrains,7100.0,https://github.com/JetBrains/kotlin-native
tvm,apache,6700.0,https://github.com/apache/tvm
numba,numba,6600.0,https://github.com/numba/numba
compiler,elm,6400.0,https://github.com/elm/compiler
awesome-compilers,aalhour,6000.0,https://github.com/aalhour/awesome-compilers
lebab,lebab,5400.0,https://github.com/lebab/lebab
acwj,DoctorWkt,5300.0,https://github.com/DoctorWkt/acwj
rescript-compiler,rescript-lang,5300.0,https://github.com/rescript-lang/rescript-compiler
dotty,lampepfl,4600.0,https://github.com/lampepfl/dotty
enso,enso-org,4600.0,https://github.com/enso-org/enso
