Repository_Name,Username,Stars,Repository_URL
drone,drone,23300.0,https://github.com/drone/drone
jenkins,jenkinsci,17400.0,https://github.com/jenkinsci/jenkins
volkswagen,auchenberg,11500.0,https://github.com/auchenberg/volkswagen
origin,openshift,7900.0,https://github.com/openshift/origin
gocd,gocd,6100.0,https://github.com/gocd/gocd
concourse,concourse,5700.0,https://github.com/concourse/concourse
buildbot,buildbot,4600.0,https://github.com/buildbot/buildbot
strider,Strider-CD,4500.0,https://github.com/Strider-CD/strider
gaia,gaia-pipeline,4400.0,https://github.com/gaia-pipeline/gaia
jx,jenkins-x,3900.0,https://github.com/jenkins-x/jx
onedev,theonedev,3800.0,https://github.com/theonedev/onedev
hygieia,hygieia,3600.0,https://github.com/hygieia/hygieia
xcpretty,xcpretty,3600.0,https://github.com/xcpretty/xcpretty
cds,ovh,3400.0,https://github.com/ovh/cds
cake,cake-build,2900.0,https://github.com/cake-build/cake
awesome-ci,ligurio,2600.0,https://github.com/ligurio/awesome-ci
PHPCI,dancryer,2400.0,https://github.com/dancryer/PHPCI
werf,werf,2400.0,https://github.com/werf/werf
tox,tox-dev,2200.0,https://github.com/tox-dev/tox
syncd,dreamans,1900.0,https://github.com/dreamans/syncd
ModernCppStarter,TheLartians,1900.0,https://github.com/TheLartians/ModernCppStarter
hound,houndci,1900.0,https://github.com/houndci/hound
fabric8,fabric8io,1800.0,https://github.com/fabric8io/fabric8
setup-php,shivammathur,1600.0,https://github.com/shivammathur/setup-php
lastbackend,lastbackend,1500.0,https://github.com/lastbackend/lastbackend
nuke,nuke-build,1200.0,https://github.com/nuke-build/nuke
flow-core-x,FlowCI,1200.0,https://github.com/FlowCI/flow-core-x
trust,japaric,1100.0,https://github.com/japaric/trust
churn-php,bmitch,1100.0,https://github.com/bmitch/churn-php
Piplin,Piplin,1000.0,https://github.com/Piplin/Piplin
