Repository_Name,Username,Stars,Repository_URL
COVID-19,CSSEGISandData,26800.0,https://github.com/CSSEGISandData/COVID-19
covid19india-react,covid19india,6500.0,https://github.com/covid19india/covid19india-react
covid-19-data,nytimes,6400.0,https://github.com/nytimes/covid-19-data
covid19,tokyo-metropolitan-gov,6200.0,https://github.com/tokyo-metropolitan-gov/covid19
COVID-19,pcm-dpc,3800.0,https://github.com/pcm-dpc/COVID-19
covid-19-data,owid,3700.0,https://github.com/owid/covid-19-data
covid-chestxray-dataset,ieee8023,2700.0,https://github.com/ieee8023/covid-chestxray-dataset
app,WorldHealthOrganization,2100.0,https://github.com/WorldHealthOrganization/app
corona,geohot,1900.0,https://github.com/geohot/corona
corona-cli,ahmadawais,1700.0,https://github.com/ahmadawais/corona-cli
cwa-server,corona-warn-app,1700.0,https://github.com/corona-warn-app/cwa-server
coronavirus-tracker-api,ExpDev07,1500.0,https://github.com/ExpDev07/coronavirus-tracker-api
CoronaTracker,mhdhejazi,1400.0,https://github.com/mhdhejazi/CoronaTracker
awesome-coronavirus,soroushchehresa,1400.0,https://github.com/soroushchehresa/awesome-coronavirus
covid19_scenarios,neherlab,1400.0,https://github.com/neherlab/covid19_scenarios
covid19-dashboard,github,1300.0,https://github.com/github/covid19-dashboard
covid19,pomber,1200.0,https://github.com/pomber/covid19
coronavirus,FoldingAtHome,1100.0,https://github.com/FoldingAtHome/coronavirus
covid-19,datasets,1100.0,https://github.com/datasets/covid-19
tika-python,chrismattmann,1000.0,https://github.com/chrismattmann/tika-python
COVID-Net,lindawangg,972000.0,https://github.com/lindawangg/COVID-Net
covid19model,ImperialCollegeLondon,924000.0,https://github.com/ImperialCollegeLondon/covid19model
ESP32-Paxcounter,cyberman54,878000.0,https://github.com/cyberman54/ESP32-Paxcounter
Face-Mask-Detection,chandrikadeb7,870000.0,https://github.com/chandrikadeb7/Face-Mask-Detection
COVID-CT,UCSD-AI4H,850000.0,https://github.com/UCSD-AI4H/COVID-CT
makair,makers-for-life,724000.0,https://github.com/makers-for-life/makair
2019-wuhan-coronavirus-data,globalcitizen,627000.0,https://github.com/globalcitizen/2019-wuhan-coronavirus-data
paperai,neuml,621000.0,https://github.com/neuml/paperai
covid-vaccine-booking,pallupz,615000.0,https://github.com/pallupz/covid-vaccine-booking
covidAPI,javieraviles,598000.0,https://github.com/javieraviles/covidAPI
