Repository_Name,Username,Stars,Repository_URL
CS-Notes,CyC2018,131000.0,https://github.com/CyC2018/CS-Notes
project-based-learning,tuvtran,50900.0,https://github.com/tuvtran/project-based-learning
leetcode,azl397985856,42400.0,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,36800.0,https://github.com/x64dbg/x64dbg
awesome-cpp,fffaraz,31800.0,https://github.com/fffaraz/awesome-cpp
calculator,microsoft,22200.0,https://github.com/microsoft/calculator
openpose,CMU-Perceptual-Computing-Lab,21100.0,https://github.com/CMU-Perceptual-Computing-Lab/openpose
interview,huihut,18900.0,https://github.com/huihut/interview
yuzu,yuzu-emu,14800.0,https://github.com/yuzu-emu/yuzu
modern-cpp-tutorial,changkun,13500.0,https://github.com/changkun/modern-cpp-tutorial
C-Plus-Plus,TheAlgorithms,13100.0,https://github.com/TheAlgorithms/C-Plus-Plus
vcpkg,microsoft,12900.0,https://github.com/microsoft/vcpkg
infer,facebook,12300.0,https://github.com/facebook/infer
modern-cpp-features,AnthonyCalandra,12000.0,https://github.com/AnthonyCalandra/modern-cpp-features
spdlog,gabime,11800.0,https://github.com/gabime/spdlog
Sourcetrail,CoatiSoftware,11500.0,https://github.com/CoatiSoftware/Sourcetrail
tink,google,11300.0,https://github.com/google/tink
leetcode-master,youngyangyang04,11300.0,https://github.com/youngyangyang04/leetcode-master
tinyrenderer,ssloy,10800.0,https://github.com/ssloy/tinyrenderer
Qv2ray,Qv2ray,10700.0,https://github.com/Qv2ray/Qv2ray
solidity,ethereum,10600.0,https://github.com/ethereum/solidity
openage,SFTtech,10300.0,https://github.com/SFTtech/openage
antlr4,antlr,10000.0,https://github.com/antlr/antlr4
BackgroundMusic,kyleneideck,9600.0,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,9500.0,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,8700.0,https://github.com/compiler-explorer/compiler-explorer
milewski-ctfp-pdf,hmemcpy,8500.0,https://github.com/hmemcpy/milewski-ctfp-pdf
TabNine,codota,8200.0,https://github.com/codota/TabNine
fprime,nasa,8100.0,https://github.com/nasa/fprime
awesome-modern-cpp,rigtorp,8000.0,https://github.com/rigtorp/awesome-modern-cpp
