Repository_Name,Username,Stars,Repository_URL,Topic Class
three.js,mrdoob,71600.0,https://github.com/mrdoob/three.js,3d
libgdx,libgdx,18500.0,https://github.com/libgdx/libgdx,3d
Babylon.js,BabylonJS,14200.0,https://github.com/BabylonJS/Babylon.js,3d
react-three-fiber,pmndrs,13600.0,https://github.com/pmndrs/react-three-fiber,3d
aframe,aframevr,12800.0,https://github.com/aframevr/aframe,3d
tinyrenderer,ssloy,10800.0,https://github.com/ssloy/tinyrenderer,3d
3d-game-shaders-for-beginners,lettier,10500.0,https://github.com/lettier/3d-game-shaders-for-beginners,3d
FreeCAD,FreeCAD,9400.0,https://github.com/FreeCAD/FreeCAD,3d
zdog,metafizzy,8500.0,https://github.com/metafizzy/zdog,3d
cesium,CesiumGS,7100.0,https://github.com/CesiumGS/cesium,3d
SpaceshipGenerator,a1studmuffin,6800.0,https://github.com/a1studmuffin/SpaceshipGenerator,3d
3D-Machine-Learning,timzhang642,6700.0,https://github.com/timzhang642/3D-Machine-Learning,3d
Open3D,intel-isl,4600.0,https://github.com/intel-isl/Open3D,3d
spritejs,spritejs,4500.0,https://github.com/spritejs/spritejs,3d
tensorspace,tensorspace-team,4400.0,https://github.com/tensorspace-team/tensorspace,3d
webglstudio.js,jagenjo,4400.0,https://github.com/jagenjo/webglstudio.js,3d
vrn,AaronJackson,4300.0,https://github.com/AaronJackson/vrn,3d
PRNet,YadiraF,4300.0,https://github.com/YadiraF/PRNet,3d
openscad,openscad,4100.0,https://github.com/openscad/openscad,3d
BlenderGIS,domlysz,3900.0,https://github.com/domlysz/BlenderGIS,3d
tinyraytracer,ssloy,3800.0,https://github.com/ssloy/tinyraytracer,3d
magnum,mosra,3500.0,https://github.com/mosra/magnum,3d
webgl-fundamentals,gfxfundamentals,3000.0,https://github.com/gfxfundamentals/webgl-fundamentals,3d
3DDFA,cleardusk,3000.0,https://github.com/cleardusk/3DDFA,3d
model-viewer,google,3000.0,https://github.com/google/model-viewer,3d
isometric-contributions,jasonlong,2900.0,https://github.com/jasonlong/isometric-contributions,3d
blender,blender,2800.0,https://github.com/blender/blender,3d
L7,antvis,2300.0,https://github.com/antvis/L7,3d
claygl,pissang,2200.0,https://github.com/pissang/claygl,3d
meshlab,cnr-isti-vclab,2200.0,https://github.com/cnr-isti-vclab/meshlab,3d
infinite-scroll,metafizzy,6900.0,https://github.com/metafizzy/infinite-scroll,ajax
Blog,ljianshu,6500.0,https://github.com/ljianshu/Blog,ajax
unfetch,developit,5100.0,https://github.com/developit/unfetch,ajax
form,jquery-form,5100.0,https://github.com/jquery-form/form,ajax
elFinder,Studio-42,4100.0,https://github.com/Studio-42/elFinder,ajax
tabulator,olifolkerd,4000.0,https://github.com/olifolkerd/tabulator,ajax
reqwest,ded,2900.0,https://github.com/ded/reqwest,ajax
learn-to-send-email-via-google-script-html-no-server,dwyl,2600.0,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,ajax
bliss,LeaVerou,2300.0,https://github.com/LeaVerou/bliss,ajax
wretch,elbywan,2200.0,https://github.com/elbywan/wretch,ajax
featherlight,noelboss,2000.0,https://github.com/noelboss/featherlight,ajax
jquery-confirm,craftpip,1700.0,https://github.com/craftpip/jquery-confirm,ajax
Ajax-hook,wendux,1600.0,https://github.com/wendux/Ajax-hook,ajax
sente,ptaoussanis,1600.0,https://github.com/ptaoussanis/sente,ajax
Enterprise,joaomilho,1500.0,https://github.com/joaomilho/Enterprise,ajax
tracy,nette,1400.0,https://github.com/nette/tracy,ajax
web-interview,yisainan,1400.0,https://github.com/yisainan/web-interview,ajax
jeeplatform,u014427391,1300.0,https://github.com/u014427391/jeeplatform,ajax
pjax,MoOx,1200.0,https://github.com/MoOx/pjax,ajax
css-spinner,loadingio,1100.0,https://github.com/loadingio/css-spinner,ajax
uploader,danielm,1100.0,https://github.com/danielm/uploader,ajax
eCommerce,codingforentrepreneurs,1100.0,https://github.com/codingforentrepreneurs/eCommerce,ajax
render_async,renderedtext,1000.0,https://github.com/renderedtext/render_async,ajax
saber,swlib,893000.0,https://github.com/swlib/saber,ajax
infinite-ajax-scroll,webcreate,816000.0,https://github.com/webcreate/infinite-ajax-scroll,ajax
opensource-socialnetwork,opensource-socialnetwork,743000.0,https://github.com/opensource-socialnetwork/opensource-socialnetwork,ajax
RestClient,proyecto26,732000.0,https://github.com/proyecto26/RestClient,ajax
rapid.js,rapidjs,703000.0,https://github.com/rapidjs/rapid.js,ajax
ssm-BookAppointment,ni-ze,676000.0,https://github.com/ni-ze/ssm-BookAppointment,ajax
JavaScriptStudy,csxiaoyaojianxian,542000.0,https://github.com/csxiaoyaojianxian/JavaScriptStudy,ajax
coding-interview-university,jwasham,176000.0,https://github.com/jwasham/coding-interview-university,algorithm
CS-Notes,CyC2018,132000.0,https://github.com/CyC2018/CS-Notes,algorithm
Python,TheAlgorithms,110000.0,https://github.com/TheAlgorithms/Python,algorithm
javascript-algorithms,trekhleb,110000.0,https://github.com/trekhleb/javascript-algorithms,algorithm
tech-interview-handbook,yangshun,54800.0,https://github.com/yangshun/tech-interview-handbook,algorithm
interviews,kdn251,51600.0,https://github.com/kdn251/interviews,algorithm
leetcode,azl397985856,42400.0,https://github.com/azl397985856/leetcode,algorithm
algorithm-visualizer,algorithm-visualizer,33900.0,https://github.com/algorithm-visualizer/algorithm-visualizer,algorithm
JCSprout,crossoverJie,26200.0,https://github.com/crossoverJie/JCSprout,algorithm
interactive-coding-challenges,donnemartin,22700.0,https://github.com/donnemartin/interactive-coding-challenges,algorithm
algorithms,keon,19300.0,https://github.com/keon/algorithms,algorithm
interview,huihut,18900.0,https://github.com/huihut/interview,algorithm
LeetCode-Go,halfrost,18200.0,https://github.com/halfrost/LeetCode-Go,algorithm
homemade-machine-learning,trekhleb,17800.0,https://github.com/trekhleb/homemade-machine-learning,algorithm
WaveFunctionCollapse,mxgmn,16200.0,https://github.com/mxgmn/WaveFunctionCollapse,algorithm
C-Plus-Plus,TheAlgorithms,13100.0,https://github.com/TheAlgorithms/C-Plus-Plus,algorithm
cosmos,OpenGenus,12600.0,https://github.com/OpenGenus/cosmos,algorithm
PythonRobotics,AtsushiSakai,12500.0,https://github.com/AtsushiSakai/PythonRobotics,algorithm
algorithm-pattern,greyireland,12000.0,https://github.com/greyireland/algorithm-pattern,algorithm
leetcode-master,youngyangyang04,11400.0,https://github.com/youngyangyang04/leetcode-master,algorithm
Javascript,TheAlgorithms,11300.0,https://github.com/TheAlgorithms/Javascript,algorithm
apachecn-algo-zh,apachecn,10300.0,https://github.com/apachecn/apachecn-algo-zh,algorithm
Algorithms,williamfiset,10000.0,https://github.com/williamfiset/Algorithms,algorithm
Halfrost-Field,halfrost,9000.0,https://github.com/halfrost/Halfrost-Field,algorithm
awesome-competitive-programming,lnishan,8400.0,https://github.com/lnishan/awesome-competitive-programming,algorithm
awesome-java-leetcode,Blankj,8100.0,https://github.com/Blankj/awesome-java-leetcode,algorithm
algorithms,jeffgerickson,7200.0,https://github.com/jeffgerickson/algorithms,algorithm
javascript-algorithms,mgechev,6800.0,https://github.com/mgechev/javascript-algorithms,algorithm
vscode-leetcode,LeetCode-OpenSource,6600.0,https://github.com/LeetCode-OpenSource/vscode-leetcode,algorithm
ImageAI,OlafenwaMoses,6200.0,https://github.com/OlafenwaMoses/ImageAI,algorithm
amp,amphp,3200.0,https://github.com/amphp/amp,amphp
MadelineProto,danog,1600.0,https://github.com/danog/MadelineProto,amphp
http-server,amphp,1100.0,https://github.com/amphp/http-server,amphp
telegram-api,unreal4u,656000.0,https://github.com/unreal4u/telegram-api,amphp
http-client,amphp,564000.0,https://github.com/amphp/http-client,amphp
parallel,amphp,494000.0,https://github.com/amphp/parallel,amphp
service-bus,php-service-bus,293000.0,https://github.com/php-service-bus/service-bus,amphp
mysql,amphp,240000.0,https://github.com/amphp/mysql,amphp
byte-stream,amphp,225000.0,https://github.com/amphp/byte-stream,amphp
parallel-functions,amphp,186000.0,https://github.com/amphp/parallel-functions,amphp
process,amphp,132000.0,https://github.com/amphp/process,amphp
socket,amphp,130000.0,https://github.com/amphp/socket,amphp
redis,amphp,113000.0,https://github.com/amphp/redis,amphp
acme,kelunik,103000.0,https://github.com/kelunik/acme,amphp
mailgrab,PeeHaa,92000.0,https://github.com/PeeHaa/mailgrab,amphp
dns,amphp,91000.0,https://github.com/amphp/dns,amphp
websocket-client,amphp,85000.0,https://github.com/amphp/websocket-client,amphp
sync,amphp,74000.0,https://github.com/amphp/sync,amphp
asynit,jolicode,67000.0,https://github.com/jolicode/asynit,amphp
websocket-server,amphp,63000.0,https://github.com/amphp/websocket-server,amphp
postgres,amphp,58000.0,https://github.com/amphp/postgres,amphp
beanstalk,amphp,53000.0,https://github.com/amphp/beanstalk,amphp
cache,amphp,53000.0,https://github.com/amphp/cache,amphp
file,amphp,52000.0,https://github.com/amphp/file,amphp
windows-registry,amphp,49000.0,https://github.com/amphp/windows-registry,amphp
hpack,amphp,47000.0,https://github.com/amphp/hpack,amphp
serialization,amphp,44000.0,https://github.com/amphp/serialization,amphp
ridge,phpinnacle,41000.0,https://github.com/phpinnacle/ridge,amphp
Jeeves,Room-11,41000.0,https://github.com/Room-11/Jeeves,amphp
aerys,amphp,40000.0,https://github.com/amphp/aerys,amphp
flutter,flutter,122000.0,https://github.com/flutter/flutter,android
free-programming-books-zh_CN,justjavac,80400.0,https://github.com/justjavac/free-programming-books-zh_CN,android
scrcpy,Genymobile,49600.0,https://github.com/Genymobile/scrcpy,android
Awesome-Hacking,Hack-with-Github,44500.0,https://github.com/Hack-with-Github/Awesome-Hacking,android
material-design-icons,google,43100.0,https://github.com/google/material-design-icons,android
awesome-android-ui,wasabeef,40700.0,https://github.com/wasabeef/awesome-android-ui,android
okhttp,square,40200.0,https://github.com/square/okhttp,android
architecture-samples,android,38900.0,https://github.com/android/architecture-samples,android
retrofit,square,38200.0,https://github.com/square/retrofit,android
awesome-flutter,Solido,36000.0,https://github.com/Solido/awesome-flutter,android
MPAndroidChart,PhilJay,33400.0,https://github.com/PhilJay/MPAndroidChart,android
fastlane,fastlane,32400.0,https://github.com/fastlane/fastlane,android
shadowsocks-android,shadowsocks,31500.0,https://github.com/shadowsocks/shadowsocks-android,android
glide,bumptech,31300.0,https://github.com/bumptech/glide,android
lottie-android,airbnb,31200.0,https://github.com/airbnb/lottie-android,android
android-open-project,Trinea,30600.0,https://github.com/Trinea/android-open-project,android
AndroidUtilCode,Blankj,29400.0,https://github.com/Blankj/AndroidUtilCode,android
gold-miner,xitu,29000.0,https://github.com/xitu/gold-miner,android
ijkplayer,bilibili,28900.0,https://github.com/bilibili/ijkplayer,android
zxing,zxing,27900.0,https://github.com/zxing/zxing,android
android_guides,codepath,27400.0,https://github.com/codepath/android_guides,android
leakcanary,square,26200.0,https://github.com/square/leakcanary,android
jadx,skylot,26200.0,https://github.com/skylot/jadx,android
joplin,laurent22,23700.0,https://github.com/laurent22/joplin,android
fastjson,alibaba,23400.0,https://github.com/alibaba/fastjson,android
SmartRefreshLayout,scwang90,22600.0,https://github.com/scwang90/SmartRefreshLayout,android
BaseRecyclerViewAdapterHelper,CymChad,22000.0,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,android
react-native-elements,react-native-elements,20700.0,https://github.com/react-native-elements/react-native-elements,android
iosched,google,20500.0,https://github.com/google/iosched,android
NativeScript,NativeScript,20200.0,https://github.com/NativeScript/NativeScript,android
free-programming-books-zh_CN,justjavac,80400.0,https://github.com/justjavac/free-programming-books-zh_CN,angular
angular,angular,73800.0,https://github.com/angular/angular,angular
storybook,storybookjs,62400.0,https://github.com/storybookjs/storybook,angular
ionic-framework,ionic-team,44600.0,https://github.com/ionic-team/ionic-framework,angular
33-js-concepts,leonardomso,40600.0,https://github.com/leonardomso/33-js-concepts,angular
prettier,prettier,39800.0,https://github.com/prettier/prettier,angular
sheetjs,SheetJS,25800.0,https://github.com/SheetJS/sheetjs,angular
angular-cli,angular,24600.0,https://github.com/angular/angular-cli,angular
components,angular,21500.0,https://github.com/angular/components,angular
NativeScript,NativeScript,20200.0,https://github.com/NativeScript/NativeScript,angular
generator-jhipster,jhipster,18500.0,https://github.com/jhipster/generator-jhipster,angular
terminus,Eugeny,18100.0,https://github.com/Eugeny/terminus,angular
handsontable,handsontable,15300.0,https://github.com/handsontable/handsontable,angular
bit,teambit,13500.0,https://github.com/teambit/bit,angular
sweetalert2,sweetalert2,13000.0,https://github.com/sweetalert2/sweetalert2,angular
mean,linnovate,12100.0,https://github.com/linnovate/mean,angular
javascript-testing-best-practices,goldbergyoni,11800.0,https://github.com/goldbergyoni/javascript-testing-best-practices,angular
coreui-free-bootstrap-admin-template,coreui,10800.0,https://github.com/coreui/coreui-free-bootstrap-admin-template,angular
codesandbox-client,codesandbox,10600.0,https://github.com/codesandbox/codesandbox-client,angular
angular-starter,PatrickJS,10400.0,https://github.com/PatrickJS/angular-starter,angular
PeerTube,Chocobozzz,9400.0,https://github.com/Chocobozzz/PeerTube,angular
protractor,angular,8700.0,https://github.com/angular/protractor,angular
OnsenUI,OnsenUI,8400.0,https://github.com/OnsenUI/OnsenUI,angular
text-mask,text-mask,8000.0,https://github.com/text-mask/text-mask,angular
awesome-angular,PatrickJS,7900.0,https://github.com/PatrickJS/awesome-angular,angular
ng-bootstrap,ng-bootstrap,7800.0,https://github.com/ng-bootstrap/ng-bootstrap,angular
ng-zorro-antd,NG-ZORRO,7500.0,https://github.com/NG-ZORRO/ng-zorro-antd,angular
nx,nrwl,7400.0,https://github.com/nrwl/nx,angular
rematch,rematch,7300.0,https://github.com/rematch/rematch,angular
ag-grid,ag-grid,7300.0,https://github.com/ag-grid/ag-grid,angular
ansible,ansible,48600.0,https://github.com/ansible/ansible,ansible
streisand,StreisandEffect,22500.0,https://github.com/StreisandEffect/streisand,ansible
algo,trailofbits,20900.0,https://github.com/trailofbits/algo,ansible
kubespray,kubernetes-sigs,10700.0,https://github.com/kubernetes-sigs/kubespray,ansible
awx,ansible,9800.0,https://github.com/ansible/awx,ansible
devops-exercises,bregman-arie,8500.0,https://github.com/bregman-arie/devops-exercises,ansible
kubeasz,easzlab,7000.0,https://github.com/easzlab/kubeasz,ansible
ansible-for-devops,geerlingguy,4600.0,https://github.com/geerlingguy/ansible-for-devops,ansible
rundeck,rundeck,4200.0,https://github.com/rundeck/rundeck,ansible
semaphore,ansible-semaphore,4100.0,https://github.com/ansible-semaphore/semaphore,ansible
DevOps-Guide,Tikam02,3700.0,https://github.com/Tikam02/DevOps-Guide,ansible
mac-dev-playbook,geerlingguy,3600.0,https://github.com/geerlingguy/mac-dev-playbook,ansible
KubeOperator,KubeOperator,3500.0,https://github.com/KubeOperator/KubeOperator,ansible
molecule,ansible-community,3100.0,https://github.com/ansible-community/molecule,ansible
DetectionLab,clong,2800.0,https://github.com/clong/DetectionLab,ansible
opendevops,opendevops-cn,2700.0,https://github.com/opendevops-cn/opendevops,ansible
OpsManage,welliamcao,2700.0,https://github.com/welliamcao/OpsManage,ansible
ansible-lint,ansible-community,2500.0,https://github.com/ansible-community/ansible-lint,ansible
netboot.xyz,netbootxyz,2400.0,https://github.com/netbootxyz/netboot.xyz,ansible
werf,werf,2400.0,https://github.com/werf/werf,ansible
trellis,roots,2200.0,https://github.com/roots/trellis,ansible
chrome-aws-lambda,alixaxel,2200.0,https://github.com/alixaxel/chrome-aws-lambda,ansible
ansible-collection-hardening,dev-sec,2200.0,https://github.com/dev-sec/ansible-collection-hardening,ansible
deploy,ansistrano,2100.0,https://github.com/ansistrano/deploy,ansible
openshift-ansible,openshift,2000.0,https://github.com/openshift/openshift-ansible,ansible
ansible-cmdb,fboender,1900.0,https://github.com/fboender/ansible-cmdb,ansible
pytest-testinfra,pytest-dev,1900.0,https://github.com/pytest-dev/pytest-testinfra,ansible
ansible-tuto,leucos,1900.0,https://github.com/leucos/ansible-tuto,ansible
infrastructure-as-code-tutorial,Artemmkin,1900.0,https://github.com/Artemmkin/infrastructure-as-code-tutorial,ansible
ansible-vagrant-examples,geerlingguy,1900.0,https://github.com/geerlingguy/ansible-vagrant-examples,ansible
public-apis,public-apis,130000.0,https://github.com/public-apis/public-apis,api
httpie,httpie,51000.0,https://github.com/httpie/httpie,api
neovim,neovim,44200.0,https://github.com/neovim/neovim,api
strapi,strapi,37000.0,https://github.com/strapi/strapi,api
slate,slatedocs,32700.000000000004,https://github.com/slatedocs/slate,api
fastapi,tiangolo,31900.0,https://github.com/tiangolo/fastapi,api
hoppscotch,hoppscotch,29400.0,https://github.com/hoppscotch/hoppscotch,api
ItChat,littlecodersh,21500.0,https://github.com/littlecodersh/ItChat,api
django-rest-framework,encode,21100.0,https://github.com/encode/django-rest-framework,api
yapi,YMFE,21100.0,https://github.com/YMFE/yapi,api
NeteaseCloudMusicApi,Binaryify,20200.0,https://github.com/Binaryify/NeteaseCloudMusicApi,api
normalizr,paularmstrong,20200.0,https://github.com/paularmstrong/normalizr,api
ccxt,ccxt,19900.0,https://github.com/ccxt/ccxt,api
security-guide-for-developers,FallibleInc,19700.0,https://github.com/FallibleInc/security-guide-for-developers,api
api-guidelines,microsoft,17200.0,https://github.com/microsoft/api-guidelines,api
insomnia,Kong,16500.0,https://github.com/Kong/insomnia,api
API-Security-Checklist,shieldfy,15700.0,https://github.com/shieldfy/API-Security-Checklist,api
learn-anything,learn-anything,13100.0,https://github.com/learn-anything/learn-anything,api
wxpy,youfou,12800.0,https://github.com/youfou/wxpy,api
brain.js,BrainJS,12000.0,https://github.com/BrainJS/brain.js,api
jsdoc,jsdoc,12000.0,https://github.com/jsdoc/jsdoc,api
directus,directus,11100.0,https://github.com/directus/directus,api
web3.js,ChainSafe,10500.0,https://github.com/ChainSafe/web3.js,api
postgraphile,graphile,10300.0,https://github.com/graphile/postgraphile,api
httpbin,postmanlabs,9900.0,https://github.com/postmanlabs/httpbin,api
chi,go-chi,9500.0,https://github.com/go-chi/chi,api
grape,ruby-grape,9300.0,https://github.com/ruby-grape/grape,api
showdoc,star7th,9000.0,https://github.com/star7th/showdoc,api
zeal,zealdocs,8800.0,https://github.com/zealdocs/zeal,api
openapi-generator,OpenAPITools,8800.0,https://github.com/OpenAPITools/openapi-generator,api
Tasmota,arendst,15300.0,https://github.com/arendst/Tasmota,arduino
johnny-five,rwaldron,12200.0,https://github.com/rwaldron/johnny-five,arduino
Arduino,arduino,11800.0,https://github.com/arduino/Arduino,arduino
Marlin,MarlinFirmware,11300.0,https://github.com/MarlinFirmware/Marlin,arduino
esp8266_deauther,SpacehuhnTech,8600.0,https://github.com/SpacehuhnTech/esp8266_deauther,arduino
tinygo,tinygo-org,8100.0,https://github.com/tinygo-org/tinygo,arduino
gobot,hybridgroup,7200.0,https://github.com/hybridgroup/gobot,arduino
lowlevelprogramming-university,gurugio,6900.0,https://github.com/gurugio/lowlevelprogramming-university,arduino
arduino-esp32,espressif,6800.0,https://github.com/espressif/arduino-esp32,arduino
ArduinoJson,bblanchon,5200.0,https://github.com/bblanchon/ArduinoJson,arduino
platformio-core,platformio,5100.0,https://github.com/platformio/platformio-core,arduino
WiFiManager,tzapu,4600.0,https://github.com/tzapu/WiFiManager,arduino
cylon,hybridgroup,3800.0,https://github.com/hybridgroup/cylon,arduino
Arduino-IRremote,Arduino-IRremote,3300.0,https://github.com/Arduino-IRremote/Arduino-IRremote,arduino
blynk-library,blynkkk,3100.0,https://github.com/blynkkk/blynk-library,arduino
nectarjs,NectarJS,3000.0,https://github.com/NectarJS/nectarjs,arduino
arduino-cli,arduino,2900.0,https://github.com/arduino/arduino-cli,arduino
PJON,gioblu,2600.0,https://github.com/gioblu/PJON,arduino
blynk-server,blynkkk,2200.0,https://github.com/blynkkk/blynk-server,arduino
OpenMQTTGateway,1technophile,2200.0,https://github.com/1technophile/OpenMQTTGateway,arduino
audio-reactive-led-strip,scottlawsonbc,2000.0,https://github.com/scottlawsonbc/audio-reactive-led-strip,arduino
OpenBot,intel-isl,1800.0,https://github.com/intel-isl/OpenBot,arduino
Serial-Studio,Serial-Studio,1800.0,https://github.com/Serial-Studio/Serial-Studio,arduino
IRremoteESP8266,crankyoldgit,1800.0,https://github.com/crankyoldgit/IRremoteESP8266,arduino
splitflap,scottbez1,1700.0,https://github.com/scottbez1/splitflap,arduino
RF24,nRF24,1700.0,https://github.com/nRF24/RF24,arduino
Arduino_Core_STM32,stm32duino,1500.0,https://github.com/stm32duino/Arduino_Core_STM32,arduino
esp8266-oled-ssd1306,ThingPulse,1500.0,https://github.com/ThingPulse/esp8266-oled-ssd1306,arduino
TFT_eSPI,Bodmer,1300.0,https://github.com/Bodmer/TFT_eSPI,arduino
blinker-library,blinker-iot,1300.0,https://github.com/blinker-iot/blinker-library,arduino
aspnetboilerplate,aspnetboilerplate,9600.0,https://github.com/aspnetboilerplate/aspnetboilerplate,aspnet
AspNetCore.Docs,dotnet,9200.0,https://github.com/dotnet/AspNetCore.Docs,aspnet
server,bitwarden,7900.0,https://github.com/bitwarden/server,aspnet
Electron.NET,ElectronNET,5700.0,https://github.com/ElectronNET/Electron.NET,aspnet
NSwag,RicoSuter,4400.0,https://github.com/RicoSuter/NSwag,aspnet
clean-code-dotnet,thangchung,3800.0,https://github.com/thangchung/clean-code-dotnet,aspnet
ImageProcessor,JimBobSquarePants,2400.0,https://github.com/JimBobSquarePants/ImageProcessor,aspnet
SmartStoreNET,smartstore,2200.0,https://github.com/smartstore/SmartStoreNET,aspnet
aspnet-api-versioning,microsoft,2000.0,https://github.com/microsoft/aspnet-api-versioning,aspnet
BaGet,loic-sharma,1700.0,https://github.com/loic-sharma/BaGet,aspnet
aspnetcore-angular-universal,TrilonIO,1400.0,https://github.com/TrilonIO/aspnetcore-angular-universal,aspnet
aspnetcore-Vue-starter,TrilonIO,1200.0,https://github.com/TrilonIO/aspnetcore-Vue-starter,aspnet
DncZeus,lampo1024,1100.0,https://github.com/lampo1024/DncZeus,aspnet
Awesome-Microservices-NetCore,mjebrahimi,1100.0,https://github.com/mjebrahimi/Awesome-Microservices-NetCore,aspnet
csla,MarimerLLC,902000.0,https://github.com/MarimerLLC/csla,aspnet
dotvvm,riganti,538000.0,https://github.com/riganti/dotvvm,aspnet
aspnet-core-3-jwt-authentication-api,cornflourblue,488000.0,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,aspnet
SharPyShell,antonioCoco,436000.0,https://github.com/antonioCoco/SharPyShell,aspnet
mvcarchitecture,chsakell,435000.0,https://github.com/chsakell/mvcarchitecture,aspnet
Gofer.NET,brthor,393000.0,https://github.com/brthor/Gofer.NET,aspnet
YAFNET,YAFNET,375000.0,https://github.com/YAFNET/YAFNET,aspnet
rrod,Maarten88,371000.0,https://github.com/Maarten88/rrod,aspnet
SapphireDb,SapphireDb,337000.0,https://github.com/SapphireDb/SapphireDb,aspnet
WebMarkupMin,Taritsyn,319000.0,https://github.com/Taritsyn/WebMarkupMin,aspnet
BlazorTable,IvanJosipovic,287000.0,https://github.com/IvanJosipovic/BlazorTable,aspnet
aspnet-core-jwt-authentication-api,cornflourblue,273000.0,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api,aspnet
aspnetcore-vueclimiddleware,EEParker,267000.0,https://github.com/EEParker/aspnetcore-vueclimiddleware,aspnet
aspnet-core-identity,chsakell,251000.0,https://github.com/chsakell/aspnet-core-identity,aspnet
Identity.Dapper,grandchamp,242000.0,https://github.com/grandchamp/Identity.Dapper,aspnet
electron.net-api-demos,ElectronNET,240000.0,https://github.com/ElectronNET/electron.net-api-demos,aspnet
atom,atom,55200.0,https://github.com/atom/atom,atom
dracula-theme,dracula,15800.0,https://github.com/dracula/dracula-theme,atom
themer,mjswensen,4200.0,https://github.com/mjswensen/themer,atom
hydrogen,nteract,3700.0,https://github.com/nteract/hydrogen,atom
markdown-preview-enhanced,shd101wyy,3200.0,https://github.com/shd101wyy/markdown-preview-enhanced,atom
v2,miniflux,2900.0,https://github.com/miniflux/v2,atom
teletype,atom,2300.0,https://github.com/atom/teletype,atom
